question,title,QType,Q_1,Q_2,Q_3,Q_4,Q_5,Answers
"A platformszolgáltatás általában nemcsak egy futtató környezetet jelent, hanem kapunk egy fejlesztőkészletet és különféle üzemeltetést segítő eszközöket is (felhőben működő alkalmazásszerver, adattár, üzenetkezelő és teljesítménymonitorozó rendszer).",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A platformszolgáltatás általában csak egy futtató környezetet jelent.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A SAP NetWeaver egy átfogó integrációs és alkalmazási platform,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A beszerzési információ rekordok (purchasing info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatokat tartalmazzák.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A beszerzési információs rekordok (purchase info records) az egyes anyagokkal kapcsolatos meghatározott szállítókra vonatkozó beszerzési adatait tartalmazzák.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A beszerzési információs rekordok (purchasing info records) a darabjegyzék (BOM) és a műveleti jegyzék (routing) megfelelő elemeit kapcsolja össze a beszerzés vonatkozásában.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A beszerzési információs rekordok (purchasing info records) megmutatják, hogy hogyan lehet összekötni a szállítót a vállalattal. Megmutatja, hogy az adott szállító milyen anyagot tud szállítani, megmutatja, hogy milyen kedvezményeket kaphat a szállító, illetve feljegyzéseket készíthetünk.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A centralizáció: biztosítja az egységes vezetői akarat érvényesítését, az erőforrások racionális hasznosítását.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A centralizált hatáskörök leadása előnyös a munkavállalói elégedettség, a kreativitás és az elkötelezettség növelése.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A darabjegyzék (Bill of material) létrehozása és karbantartása többszintű darabjegyzék formájában is történhet.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A darabjegyzék (bill of material) létrehozása és karbantartása csak egyszintű darabjegyzék (single-level BOM) formájában történhet.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A darabjegyzék (bill of material) létrehozása és karbantartásatöbbszintű darabjegyzék (multi-level BOM) formájában istörténhet.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A diszpozíció (MRP) futás eredménye lehet egy tervrendelés(planned order).,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A diszpozíció az SAP-rendszerben az anyagok rendelkezésreállásának biztosítását, az anyagszükséglet tervezését jelenti.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A dobozos üzleti alkalmazások olyan szoftvertermékek, amelynek telepítőkészletét a vállalatok CD, DVD vagy Blu-ray lemezek formájában vásárolhatnak meg.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek azonos funkcionalitással bírnak.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A dokumentummenedzsment- és vállalati tartalom kezelő rendszerek nem azonos funkcionalitással bírnak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A döntéshozatali hierarchia és információ igény szerint a operatív vezetés problémaszerkezet jól strukturált.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A döntéshozatali hierarchia és információ igény szerint a stratégiai vezetők problémaszerkezet közepesen struktúrált.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A döntéshozatali hierarchia és információ igény szerint a taktikai vezetés problémaszerkezet közepesen strukturált.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A döntéstámogató rendszerek a stratégiai döntéshozatalhoz kapcsolódó igényeket elégítik ki.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A döntéstámogató rendszerek, vállalati műveleteket támogató rendszerek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A döntéstámogató rendszerekben a teljesítménynövelés egyik praktikus módja az adatredukció.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhasználás vezérelt diszpozíció (consumption-based planning) típusú eljárások alapvetően az anyag múltbéli fogyasztásán alapulnak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhasználóval való kapcsolattartás alapján megkülönböztethetők passzív, aktív és kooperatív döntéstámogató rendszerek.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhő szolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhőalapú szolgáltatások elérése gyakran böngészőn keresztül történik,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhőalapú szolgáltatás egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül a különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A felhőalapú szolgáltatás nem egy olyan számítógépes erőforrás-hozzáférési modell, amely a hálózaton keresztül különféle típusú, közös használatú erőforráshalmazokat konfigurálható módon tesz elérhetővé a felhasználók számára.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A felhőszolgáltatások igénybevétele vállalati környezetben egy szolgáltatáskiszervezési formának tekinthető.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhőszolgáltatásokra nem jellemző a különféle virtualizált erőforrások használata.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A felhőszolgáltatásokra általánosságban jellemző a különféle virtualizált erőforrások használata.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhőszolgáltatások egyik fő vonzereje az alacsony kezdeti befektetés,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A felhőszolgáltatások egyetlen fő vonzereje az alacsony kezdeti befektetés,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gamification a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification a konzolról PC-re történő ember-gép reakciók adoptálását jelenti.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification játéktervezési elemek használatát jelenti játékos környezetben.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification játéktervezési elemek használatát jelenti nem-játékos környezetben.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gamification megközelítésnek pszichológiai vonatkozásai is vannak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gamification megközelítésének nincsenek pszichológiai vonatkozásai,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gamification nem a játékkonzolok esetében alkalmazott ember-gép interakciók PC-s környezetbe történő adoptálását jelenti.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A gyártási megrendelés visszavonhatatlan.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A gyártási megrendelés visszavonható.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A hazai informatikai hálózat váltóáramról megy.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A hiba kiszűrés ráfordítás igény és a pontosság között egyenes arányosság van.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A háromrétegű architektúrájú vállalati információs rendszerek esetén az üzleti logika réteg feladata a felhasználóval való kapcsolattartás.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A háromrétegű architektúrájú vállalati információs rendszerek esetén nem az üzleti logika réteg feladata a felhasználóval való kapcsolattartás.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A háttérfeldolgozás beengedi a hibákat.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A karakteres adatfajtával a feldolgozási módjuk szerint semmiféle műveletet nem végezhetünk, adattartalommal nem összefüggő. (pl.: földrajzi nevek)",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A kevert szabály formai és tartalmi szabályok keverékei.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A kiszállítási pontot (shipping point) üzemhez (plant) lehet rendelni,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
 Az információs rendszerek két legfőbb tervezési mintája a kliens-szerver architektúra és a rétegszerkezet.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
 Az információs rendszerek két legfőbb tervezési mintája a számítógép-szerver architektúra és a réteg nélküli szerkezet.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A kliens-szerver alapú rendszerekben a kommunikációt tipikusan a kliens kezdeményezi, a szervernek alaphelyzetben csupán várakozik a bejövő kérésre.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A kliens-szerver alapú rendszerekben a kommunikációt tipikusan a szerver kezdeményezi, a kliensek alaphelyzetben csupán várakozik a bejövő kérésre.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A kliens-szerver modellben a szerver- és a kliensmodulok általában azonos számítógépekre kerülnek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A kliensszámítógépek nem osztanak meg erőforrásokat, de működésükkor aktívan használják a szervere(ke)n található tartalmakat és szolgáltatásokat.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A kliensszámítógépek erőforrásokat osztanak meg, de működésükkor aktívan használják a szervere(ke)n található tartalmakat és szolgáltatásokat.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A kliens-szerver modellben a szerver- és a kliensmodulok általában különböző számítógépekre kerülnek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szervermodulokat futtató számítógépek jellemzően nagy teljesítményű, hibatűrő rendszerek.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szervermodulokat futtató számítógépek jellemzően kis teljesítményű, hibatűrő rendszerek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A modulok kialakítása segíti a specifikációk pontosítását, a szükséges interfészek meghatározását és a rendszer dokumentálását.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A modulok kialakítása nem segíti a specifikációk pontosítását, a szükséges interfészek meghatározását és a rendszer dokumentálását",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az interfészek helyes kialakításához pontosan ismerni kell az adott alkalmazásokat és környezetüket.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az interfészek helyes kialakításához nem kell pontosan ismerni az adott alkalmazásokat és környezetüket.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A komponens alapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A komponens    alapú rendszerek feketedoboz-jellegű (black box) újrafelhasználás lehetőségével rendelkeznek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A komponensalapú rendszerek nem rendelkeznek feketedoboz-jellegű (black-box) újrafelhasználás lehetőséggel.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A kép adatfajtával a feldolgozási módjuk szerint lehetséges honvédelmi, felderítési, földrajzi, mezőgazdasági, környezetvédelmi, gyógyászati.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A különböző diszpozíciós eljárások az SAP-rendszerben a különböző kontrolling eszközök alkalmazását definiálják.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A laza csatolásnak az az előnye, hogy az elemek önmagukban is működőképesek, így nem őrzik meg függetlenségüket.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A csatoltság azt jellemzi, hogy a rendszerkomponensek milyen mértékben függnek egymástól.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A lefúrás (drill-down) művelete megnöveli az egyik dimenzió felbontását.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A legacy rendszerek jogi informatikai rendszerek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A legacy rendszerek rendszerint fontos szerepet játszanak az adott vállalkozások működésében.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A lineáris szervezeti forma egyszerű, jól áttekinthető, egyértelműek az alá fölé rendelési viszonyok",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A lineáris szervezeti forma esetén magasak a költésgek, és sok az adminisztráció.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A lineáris-funkcionális szervezeti forma esetén, a törzskar kialakulásának célja a vezető túlterhetlségének csökkentése a szakmai színvonal növelése.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A magánfelhők jellemzője, hogy azok tulajdonosi szerkezete legalább több, mint 50%-ban magánkézben van.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A matematikai szabályok közé soroljuk a konzisztencia ellenőrző szabályokat.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A multidimenzionális adatmodellben a dimenziós adatok hierarchiába rendezhetők.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A multidimenzionális adatmodellben a dimenziós adatok nem rendezhetők hierarchiába.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A műveleti tervet (routing) mintának használják fel a gyártási vagy sorozatgyártási feladatoknál.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A nyilvános felhő Külső szolgáltató által üzemeltetett, szabadon elérhető szolgáltatás",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szolgáltató az ügyfelek sokaságának kiszolgálását célozta,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szolgáltató nem az ügyfelek sokaságának kiszolgálását célozta,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A nyilvános felhők esetében a szolgáltató az ügyfelek sokaságának kiszolgálását célozta.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A nyilvános felhők esetében a szolgáltató nem az ügyfelek sokaságának kiszolgálását célozta.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A pivot (rotate) során a forgatáskor a dimenziók száma nő.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A rekordszintű hiba összefüggéseket sérthet.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A relációs adatok indexelésével az adatelemzés hatékonysága romlik.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A rendelési lista elkészültekor a pénzügyi bizonylat is létrejön.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A rendszer egymással összefüggésben levő részek (elemek) halmaza, amelyek egyetlen egészet alkotnak",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A rendszer egymással összefüggésben levő részek (elemek) halmaza, amelyek egyetlen egészet alkotnak.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A rendszer-architektúrák közötti fő koncepciós különbséget a centralizáltság mértéke adja.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A rendszer-architektúrák közötti fő koncepciós különbséget a decentralizáltság mértéke adja.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A rétegek a feladatot jól definiált, kisebb modulokra bontják.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szervezet alapveto struktúralis jellemzoi koze tartozik a technokratikus jellemzo, melybe beletartoznak a: szabalyok, szabalyzatok, eljarasok, tervek, programok, menetrendek, koltsegkeretek, penzugyi tervek, elszamolo arak.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szervezet alapvető strukturális jellemzői közül a strukturális és személyorientált eszközök a koordinációs eszközök közé tartozik.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szervezet alapvető strukturális jellemzői közül a technokratikus eszközök a kordinációs eszközök közé tartozik.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szervezet definíciója szerint az egyének a cél érdekében folyamatosan tevékenykednek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szervezetek kialakulását befolyásoló tagi jellemzők: tartósság, újdonságtartalom.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A szigetszerű alkalmazások a vállalati információs rendszerek területén az olyan vállalatirányítási rendszereket jelölik, amelyek nem rendelkeznek EDI (Electronic Data Interchange) komponenssel.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A szigetszerű alkalmazások a vállalati információs rendszerek területén nem az olyan vállalatirányítási rendszereket jelölik, amelyek rendelkeznek EDI (Electronic Data Interchange) komponenssel.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A szolgálat út biztosítja, hogy az utasítások lefelé minden egységet elérjenek.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A szöveg adatfajtával a feldolgozási módjuk szerint szöveg feldolgozási célra használhatók.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tartalmi adatszabály matematikai szabály.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A technológiai műveleti terv (routing) a termelési folyamat egyes műveleteit írja le.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A terv rendelésből (planned order) gyártási megrendelés (production order) képezhető.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A transzformációs fázis az adatokat olyan közös alakra hozza, amely lehetővé teszi a döntéstámogató rendszerek lényegi feldolgozó algoritmusainak minél hatékonyabb futtatását.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tranzakció feldolgozó rendszerek részei az információs rendszereknek.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A tranzakciók alkalmazások, amelyek üzleti folyamatokatfuttatnak az SAP-ban.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tudásmenedzsment rendszerek a vállalatirányítási rendszerek egyik típusának tekinthetők.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A tudásmenedzsment rendszerek az ERP-rendszerek egyik típusának tekinthetőek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A tételnagyság meghatározásának módja (lot-sizing) a kontrolling szempontjából releváns az SAPrendszerben.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Minden réteg külön egységet alkot, amely a többi rétegtől függetlenül tervezhető és implementálható.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Minden réteg azonos egységet alkot, amely a többi rétegtől függetlenül tervezhető és implementálható.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az alkalmazásintegráció folyamata az alkalmazásfejlesztési folyamathoz hasonlít.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az alkalmazásintegráció folyamata az alkalmazástervezési folyamathoz hasonlít.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A prezentációs réteg (presentation layer) feladata a felhasználóval való kapcsolattartás.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Nem a prezentációs réteg (presentation layer) feladata a felhasználóval való kapcsolattartás.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
" Az angol szakirodalom kétfajta rétegfogalmat különböztet meg. A **layer** a logikailag elkülönített rétegeket jelöli, míg a **tier** a fizikai szeparációt (kliens- vagy szerveroldalra telepített funkciók) hangsúlyozza.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
" Az angol szakirodalom kétfajta rétegfogalmat különböztet meg. A **tier** a logikailag elkülönített rétegeket jelöli, míg a **layer** a fizikai szeparációt (kliens- vagy szerveroldalra telepített funkciók) hangsúlyozza.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vastagkliens megoldásokra épülő vállalati információs rendszerek eseteként a folyamatos kapcsolat nélküli működés lehetőségét kínálják.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vevő-anyag információs rekordok (customer-material info records) vevőspecifikus kiegészítőinformációkat tartalmazhatnak egy anyagra vonatkozóan.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalat szempontjából információnak számít minden bizonytalanságot csökkentő új ismeret.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati alkalmazásintegráció az adatintegritás megfelelőségéért felel.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A vállalati alkalmazások között megvalósított integráció jellemzői eltérnek aszerint, hogy azt melyik rétegben végzik el.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata nem csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata szinte csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A vállalati információs rendszerek esetében a vékonykliens megoldások használata számos előnnyel rendelkezik, a hagyományos vastagkliens megoldásokkal szemben.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A vékonykliensrendszer olyan kooperatív feldolgozási környezet, ahol az alkalmazásfejlesztés alapvetően vagy a távoli, vagy az elosztott prezentáció tervezési minta (lásd a 13. ábrát) alapján zajlik. ",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Vékonykliens környezetben természetes adottság a platformfüggetlenség.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalatirányitási rendszerek bimoduláris felépítésűek.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A vállalatirányítási rendszerek egyfajta tipikus, jól bevált (best practice) folyamatkezelést biztosítanak.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalatirányítási rendszerek moduláris felépítésűek,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan döntéstámogató rendszereket alkalmaznak.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan nem tranzakciófeldolgozó rendszereket alkalmaznak.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan tranzakciófeldolgozó rendszereket alkalmaznak.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A vállalatok által használt üzleti alkalmazások nem érhetőek el felhőszolgáltatásként, csak a nem üzletiek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"A vékonykliens megoldásokra épülő vállalati információs rendszereknek nehézkesebb a telepítése, mint a vastagkliensre épülőknek.",VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Adatforrások közül két féle forrást különböztetünk meg: külső, és belső források.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatminőség javításokat egy rendszerben csak algoritmikus úton végezhetünk,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"Adatnak nevezzük a számokkal leírható dolgokat, melyek számítástechnikai eszközökkel rögzíthetők, feldolgozhatók és megjeleníthetőek.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatvédelmi szempontból az eljárásos ellenőrzés adatfeldolgozási szinten valósul meg.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Adatvédelmi szempontból az eljárásos ellenőrzés elősegíti a minőséget és csökkenti a csalás, illetve a hibák esélyét.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatvédelmi szempontból az eszközös ellenőrzés fizikai védelemi szinten valósul meg.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Adatvédelmi szempontból az rendszer szintű ellenőrzés adatfeldolgozási szinten valósul meg,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az ABAP Workbench egy Microsoft NAV fejlesztésű platform.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az AVIR egy adattár alapú vezetői információs rendszer a magyar felsőoktatásban.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az AWS a google nyilványos számításfelhő-szolgáltatása.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
"Az Azure Cloud platform több mint 200 terméket és felhőalapú szolgáltatást foglal magába, amelynek célja, hogy segítsenek az új megoldások létrehozásában, melyekkel megfelelhet a mai kihívásoknak, és felkészülhet a jövőre. Alkalmazásokat fejleszthet, helyezhet üzembe és kezelhet akár a felhőben, akár a helyszínen vagy a peremhálózaton, és ehhez szabadon megválaszthatja saját eszközeit és keretrendszerét.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A web 2.0-nél a szöveges vagy multimédiás tartalmat maguk a felhasználók hozzák létre, töltik fel, osztják meg egymással.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
"A web 2.0-nél a szöveges vagy multimédiás tartalmat nem a felhasználók hozzák létre, töltik fel, osztják meg egymással.",VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Azure a google nyilvanos szolgáltatása.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az Azure a Microsoft nyilványos számításfelhő-szolgáltatása.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
Az Azure a SAP nyilvános számításfelhő-szolgáltatása.,VIR (igaz/hamis),2,igaz,hamis,,,,0 1
Az ERP-vel (integralt vallalatiranyitasi rendszerrel) szemben kovetelmeny a redundancia kizarasa.,VIR (igaz/hamis),2,igaz,hamis,,,,1 0
