question,answer
"A laza csatolásnak az az előnye, hogy az elemek önmagukban is működőképesek, így nem őrzik meg függetlenségüket.",hamis
A lefúrás (drill-down) művelete megnöveli az egyik dimenzió felbontását.,igaz
A legacy rendszerek jogi informatikai rendszerek.,hamis
A legacy rendszerek rendszerint fontos szerepet játszanak az adott vállalkozások működésében.,igaz
"A lineáris szervezeti forma egyszerű, jól áttekinthető, egyértelműek az alá fölé rendelési viszonyok",igaz
"A lineáris szervezeti forma esetén magasak a költésgek, és sok az adminisztráció.",hamis
"A lineáris-funkcionális szervezeti forma esetén, a törzskar kialakulásának célja a vezető túlterhetlségének csökkentése a szakmai színvonal növelése.",igaz
"A magánfelhők jellemzője, hogy azok tulajdonosi szerkezete legalább több, mint 50%-ban magánkézben van.",igaz
A matematikai szabályok közé soroljuk a konzisztencia ellenőrző szabályokat.,igaz
A multidimenzionális adatmodellben a dimenziós adatok hierarchiába rendezhetők.,igaz
A multidimenzionális adatmodellben a dimenziós adatok nem rendezhetők hierarchiába.,hamis
A műveleti tervet (routing) mintának használják fel a gyártási vagy sorozatgyártási feladatoknál.,igaz
"A nyilvános felhő Külső szolgáltató által üzemeltetett, szabadon elérhető szolgáltatás",igaz
"A nyilvános felhő Külső szolgáltató által üzemeltetett, szabadon elérhető szolgáltatás.",igaz
A nyilvános felhők esetében a szolgáltató az ügyfelek sokaságának kiszolgálását célozta.,igaz
A nyilvános felhők esetében a szolgáltató nem az ügyfelek sokaságának kiszolgálását célozta.,hamis
A pivot (rotate) során a forgatáskor a dimenziók száma nő.,hamis
A rekordszintű hiba összefüggéseket sérthet.,igaz
A relációs adatok indexelésével az adatelemzés hatékonysága romlik.,hamis
A rendelési lista elkészültekor a pénzügyi bizonylat is létrejön.,hamis
"A rendszer egymással összefüggésben levő részek (elemek) halmaza, amelyek egyetlen egészet alkotnak",igaz
"A rendszer egymással összefüggésben levő részek (elemek) halmaza, amelyek egyetlen egészet alkotnak.",igaz
A rendszer-architektúrák közötti fő koncepciós különbséget a centralizáltság mértéke adja.,igaz
"A rétegek a feladatot jól definiált, kisebb modulokra bontják.",igaz
"A szervezet alapveto struktúralis jellemzoi koze tartozik a technokratikus jellemzo, melybe beletartoznak a: szabalyok, szabalyzatok, eljarasok, tervek, programok, menetrendek, koltsegkeretek, penzugyi tervek, elszamolo arak.",igaz
A szervezet alapvető strukturális jellemzői közül a strukturális és személyorientált eszközök a koordinációs eszközök közé tartozik.,igaz
A szervezet alapvető strukturális jellemzői közül a technokratikus eszközök a kordinációs eszközök közé tartozik.,igaz
A szervezet definíciója szerint az egyének a cél érdekében folyamatosan tevékenykednek.,igaz
"A szervezetek kialakulását befolyásoló tagi jellemzők: tartósság, újdonságtartalom.",hamis
"A szigetszerű alkalmazások a vállalati információs rendszerek területén az olyan vállalatirányítási rendszereket jelölik, amelyek nem rendelkeznek EDI (Electronic Data Interchange) komponenssel.",hamis
"A szigetszerű alkalmazások a vállalati információs rendszerek területén nem az olyan vállalatirányítási rendszereket jelölik, amelyek rendelkeznek EDI (Electronic Data Interchange) komponenssel.",igaz
"A szolgálat út biztosítja, hogy az utasítások lefelé minden egységet elérjenek.",igaz
A szöveg adatfajtával a feldolgozási módjuk szerint szöveg feldolgozási célra használhatók.,igaz
A tartalmi adatszabály matematikai szabály.,hamis
A technológiai műveleti terv (routing) a termelési folyamat egyes műveleteit írja le.,igaz
A terv rendelésből (planned order) gyártási megrendelés (production order) képezhető.,igaz
"A transzformációs fázis az adatokat olyan közös alakra hozza, amely lehetővé teszi a döntéstámogató rendszerek lényegi feldolgozó algoritmusainak minél hatékonyabb futtatását.",igaz
A tranzakció feldolgozó rendszerek részei az információs rendszereknek.,igaz
"A tranzakciók alkalmazások, amelyek üzleti folyamatokatfuttatnak az SAP-ban.",igaz
A tudásmenedzsment rendszerek a vállalatirányítási rendszerek egyik típusának tekinthetők.,hamis
A tudásmenedzsment rendszerek az ERP-rendszerek egyik típusának tekinthetőek.,hamis
A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának,igaz
A tudásmenedzsment rendszerek nem tekinthetőek a vállalatirányítási rendszerek egyik típusának.,igaz
A tételnagyság meghatározásának módja (lot-sizing) a kontrolling szempontjából releváns az SAPrendszerben.,igaz
A vastagkliens megoldásokra épülő vállalati információs rendszerek eseteként a folyamatos kapcsolat nélküli működés lehetőségét kínálják.,igaz
A vevő-anyag információs rekordok (customer-material info records) vevőspecifikus kiegészítőinformációkat tartalmazhatnak egy anyagra vonatkozóan.,igaz
A vállalat szempontjából információnak számít minden bizonytalanságot csökkentő új ismeret.,igaz
A vállalati alkalmazásintegráció az adatintegritás megfelelőségéért felel.,igaz
"A vállalati alkalmazások között megvalósított integráció jellemzői eltérnek aszerint, hogy azt melyik rétegben végzik el.",igaz
A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata nem csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,igaz
A vállalati információs rendszerek esetében a hagyományos vastagkliens megoldások használata szinte csak előnnyel rendelkezik a vékonykliens megoldásokkal szemben.,hamis
"A vállalati információs rendszerek esetében a vékonykliens megoldások használata számos előnnyel rendelkezik, a hagyományos vastagkliens megoldásokkal szemben.",igaz
A vállalatirányitási rendszerek bimoduláris felépítésűek.,hamis
"A vállalatirányítási rendszerek egyfajta tipikus, jól bevált (best practice) folyamatkezelést biztosítanak.",igaz
A vállalatirányítási rendszerek moduláris felépítésűek,igaz
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan döntéstámogató rendszereket alkalmaznak.,hamis
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan nem tranzakciófeldolgozó rendszereket alkalmaznak.,hamis
A vállalatok az operatív működést képező feladatok kiszolgálása tipikusan tranzakciófeldolgozó rendszereket alkalmaznak.,igaz
"A vállalatok által használt üzleti alkalmazások nem érhetőek el felhőszolgáltatásként, csak a nem üzletiek.",hamis
"A vékonykliens megoldásokra épülő vállalati információs rendszereknek nehézkesebb a telepítése, mint a vastagkliensre épülőknek.",hamis
"Adatforrások közül két féle forrást különböztetünk meg: külső, és belső források.",igaz
Adatminőség javításokat egy rendszerben csak algoritmikus úton végezhetünk,igaz
"Adatnak nevezzük a számokkal leírható dolgokat, melyek számítástechnikai eszközökkel rögzíthetők, feldolgozhatók és megjeleníthetőek.",igaz
Adatvédelmi szempontból az eljárásos ellenőrzés adatfeldolgozási szinten valósul meg.,hamis
"Adatvédelmi szempontból az eljárásos ellenőrzés elősegíti a minőséget és csökkenti a csalás, illetve a hibák esélyét.",igaz
Adatvédelmi szempontból az eszközös ellenőrzés fizikai védelemi szinten valósul meg.,igaz
Adatvédelmi szempontból az rendszer szintű ellenőrzés adatfeldolgozási szinten valósul meg,igaz
Az ABAP Workbench egy Microsoft NAV fejlesztésű platform.,hamis
Az AVIR egy adattár alapú vezetői információs rendszer a magyar felsőoktatásban.,igaz
Az AWS a google nyilványos számításfelhő-szolgáltatása.,hamis
"Az Azure Cloud platform több mint 200 terméket és felhőalapú szolgáltatást foglal magába, amelynek célja, hogy segítsenek az új megoldások létrehozásában, melyekkel megfelelhet a mai kihívásoknak, és felkészülhet a jövőre. Alkalmazásokat fejleszthet, helyezhet üzembe és kezelhet akár a felhőben, akár a helyszínen vagy a peremhálózaton, és ehhez szabadon megválaszthatja saját eszközeit és keretrendszerét.",igaz
Azure a google nyilvanos szolgáltatása.,hamis
Az Azure a Microsoft nyilványos számításfelhő-szolgáltatása.,igaz
Az Azure a SAP nyilvános számításfelhő-szolgáltatása.,hamis
Az ERP-vel (integralt vallalatiranyitasi rendszerrel) szemben kovetelmeny a redundancia kizarasa.,igaz
Az ERP-vel (integrált vállalatirányitási rendszerrel) szemben követelmény a jogosultágnak megfelelő hozzáférés.,igaz
Az IaaS infrastruktúraszolgáltatást jelent.,igaz
Az MRP típusú diszpozíciós eljárás alapvetően az anyag múltbéli fogyásán alapul.,hamis
Az OLAP Online Analytical Processing jelent.,igaz
"Az OLAP egy konkrét szoftver, programcsomag.",hamis
Az OLAP felgörgetés (roll-up) művelete csökkenti az egyik dimenzió felbontását.,igaz
"Az OLAP olyan adatfeldolgozó rendszerek közös elnevezése amelyek számos adattárolással, adatábrázolással és statisztikai feldolgozással kapcsolatos koncepciót magukba foglal.",igaz
Az OLAP rendszerek jellemzően olvasásra vannak optimalizálva.,igaz
Az OLAP-rendszerek jellemzően nem olvasásra vannak optimalizálva.,hamis
Az OLAP-rendszerek jellemzően olvasásra vannak optimalizálva.,igaz
Az OLAP-rendszerek nem relációs adatmodellen alapulnak.,igaz
Az OLAP-rendszerek relációs adatmodellen alapulnak,hamis
Az OLAP-rendszerek relációs adatmodellen alapulnak.,hamis
A OLAP rendszerek többnyire írási folyamatokat végeznek.,hamis
"OLAP rendszerekben a nyílt interneten, vagy bérelt vonali hálózaton online módon történik az adatok egyfajta valós idejű feldolgozása.",igaz
"OLAP-nál a dice az egyik művelet, amely szeletelést ,részkocka kiválasztást, illetve projekciót és szelekciót hajt végre.",igaz
"A klasszikus OLAP megközelítésben az adattárházak adatai nem naprakészek, csupán bizonyos késleltetéssel tükrözik a vállalat állapotát.",igaz
"Az keresztülfúrás műveletnél az OLAP-kocka felépítéséhez használt operatív adatokhoz tudunk hozzáfűzni, amelyek már nem az OLAP rendszertől, hanem maguktól a tranzakciós adatbázisokból érkeznek.",igaz
"Az átfúrás (drill across) műveletnél az OLAP-kocka felépítéséhez használt operatív adatokhoz tudunk hozzáfűzni, amelyek már nem az OLAP rendszertől, hanem maguktól a tranzakciós adatbázisokból érkeznek.",hamis
"Az átfúrás (drill across) műveletnél az OLAP-kockák közötti elemzést teszi lehetővé, vagyis olyan esetekben alkalmazható, amikor több ténytábla kapcsolódik a közös dimenziós adatokhoz.",igaz
az OLAP rendszerek jellemzően írásra vannak optimalizálva,hamis
egy OLAP rendszer adatforrásai heterogének is lehetnek,igaz
Az OLTP Online Transaction Processing-et jelent.,igaz
Az OLTP mozaikszó az Online Transaction Performance szavakat jelölik.,hamis
Az OLTP-rendszerek relációs adatmodellen alapulnak,igaz
Az OLTP-vel az OLAP-hoz képest több műveletet és tranzakciót végeznek átlagosan óránként.,igaz
Az RTO és RPO ertekek teljesites mellett fontos : be kell tartani a jogszabályokat.,igaz
Az RTO és RPO használatakor a kieső időnek minimálisnak kell lennie.,igaz
Az RTO és RPO használatakor egyszerű mechanizmusokat kell tervezni.,igaz
Az RTO és RPO használatakor ki kell dolgozni a normál működéshez való visszatérés szabályait.,igaz
Az RTO és RPO használatakor nem kell betartani a jogszabályokat.,hamis
Az RTO és RPO használatakor nem kell minimalizálni a pénzügyi veszteséget.,hamis
"Az SAP ERP Business Suite egy kis- és középvállalatokat célzó, alacsony komplexitású vállalatirányítási megoldás.",hamis
"Az SAP ERP Business Suite egy kis- és középvállalatokat célzó, alacsony komplexitású vállalatirányítási modell.",hamis
Az SAP ERP Business Suite elsősorban nem a kis- és középvállalatokat célzó vállalatirányítási megoldás.,igaz
Az SAP ERP Business Suite elsősorban nem a kis- és középvállalatokat célzó vállalatirányítási megoldás.,igaz
"Az SAP rendszerek leggyakoribb moduljai: Adatbázis, alapprogram, MM - Materials Management, PP - Production Planning.",hamis
Az SD (Sales and Distribution) modul használata esetén legalább egy részleg (division) felvétele kötelező.,igaz
Az SD (sales and distribution) modul használata esetén legalább egy értékesítési csatorna (distribution channel) létrehozása kötelező.,hamis
"Az adat lényegében az információk jelentése, vagyis az információk értelmezése valamilyen (pl.: egyéni, szervezeti) tudás kontextusában.",hamis
"Az adat olyan adat vagy ismeret, amely viselkedésünket befolyásolni képes.",hamis
"Az adatbeviteli rendszerek, műszaki tervező rendszerek (CAD), vállalati műveleteket támogató rendszerek.",igaz
Az adatbányász programok időigényének egy jelentős részét az adatelőkészítés lépés teszi ki.,igaz
Az adatbányászat fő célja az analitikai modellalkotás.,hamis
Az adatbányászatnak nem fő célja az analitikai modellalkotás.,igaz
Az adatintegráció lényege a különböző forrásokból származó adatok egy helyre csoportosítása és azonos interfészen keresztül való hozzáférhetővé tétele.,igaz
"Az adatminőség adatonként adható meg, és csak egy adott célra való alkalmasságot jelent.",hamis
"Az adatminőség jellemzői közé tartozik a tartalom, a pontosság, és az időszerűség is.",igaz
"Az adatminőség probléma összefüggésekből eredő hibáin belül vannak a DUMMY értékek. A Dummy lényege,hogy ez egy mesterséges vagy álváltozó, melynek értéke 0 vagy 1 lehet",igaz
"A Dummy érték jelenti, ha valamelyik adatból duplikáció van jelen.",hamis
"Összefüggésekből eredő hiba az rekordon belüli/közötti hiba, duplikáció és a „Dummy"" értékek.",igaz
"Összefüggésekből eredő hiba a forma, értékkészleten kívül eső hiba és a matematikai helytelenség.",hamis
"Az adatok forrásai szerint a sajtóból, hatóságoktól, piackutató cégek belső források.",hamis
"Az adatok forrásai szerint a sajtóból, hatóságoktól, piackutató cégek külső források.",igaz
"Az adatok forrásai szerint az eladási helyek, saját adatbankok, központok külső források.",hamis
Az adatok tisztítása az információtartalmukból való leválasztását jelenti.,hamis
Az adatok önmagukban nem hordoznak jelentést.,igaz
Az adatszabványok nem szabályozzák az adat megjelenítési formáját.,hamis
"Az adatszabványok olyan megegyezések, szabályszerűségek, amelyek az ismeretek tartalmát és megjelenítési formáját szabályozzák.",igaz
"Az adatszabványok olyan szabályszerűségek, amelyek teljesülését elvárjuk egy adattól.",igaz
"Az adattisztítás feladata a zaj, a redundancia és az inkonzisztencia eltávolítása a nyers adatokból, illetve a hiányos adatok valamilyen kezelése.",igaz
Az aktív döntéstámogató rendszerek döntési vagy megoldási javaslatokat is generálnak.,igaz
Az alkalmazásintegráció szükséges lehet az üzleti partnerek felé történő kapcsolatkialakítás esetén.,igaz
"Az alábbi felsorolás a szervezetek kialakítását befolyásoló környezeti tényezők: piac, tudományos-technikai tényezők, szervezetközi kapcsolatok.",igaz
"Az alábbi felsorolás a szervezetek kialakítását befolyásoló környezeti tényezők: sokféleség, vertikalitás, összetettség.",hamis
"Az alábbi felsorolás a szervezetek kialakítását befolyásoló tagi tényezők: szakmai felkészültség, vezetési ismeretek, tekintély.",igaz
"Az alábbi felsorolás a szervezetek kialakítását befolyásoló vállalati adottságai: méret, eredet, telepítettség.",igaz
Az anyag törzsben (material master) rögzített alapadatok (basic data) alkalmazhatóak a teljes vállalatra (client).,igaz
Az anyagtörzs (material master) minden beállítása releváns az anyagtervezés (material planning) szempontjából.,hamis
Az anyagtörzs (material master) nem minden beállítása releváns az anyagtervezés (material planning) szempontjából.,igaz
Az anyagtörzsben (material master) a retrográd kivét (backflush) beállításának hatására a készletszint mindig optimális lesz.,hamis
"Az anyagtörzsben (material master) a retrográd kivét (backflush)beállításának hatására az anyagmozgás automatikusankönyvelődik, amikor a gyártási megbízás visszajelzésre kerül(production order confirmation)",igaz
"Az anyagtörzsben (material master) a retrográd kivét (blackflush) beállításának hatására az anyagmozgás automatikusan könyvelődik, amikor a gyártási megbízás visszajelzésre kerül (production order confirmation).",igaz
Az anyagtörzsben (material master) rögzített alapadatok (basic data) alkalmazhatók a teljes vállalatcsoportra (client).,igaz
Az anyagtörzsben (material master) rögzített alapadatok (basic data) nem alkalmazhatók a teljes vállalatcsoportra (client).,hamis
Az anyagtörzsben (material master) rögzített alapadatok (basicdata) alkalmazhatók a teljes vállalatcsoportra (client),igaz
"Az együttműködési rendszerek, és a műszaki tervező rendszerek (CAD), nem sorolhatók a vállalati műveleteket támogató rendszerek közé.",hamis
"Az elforgatás (pivot) művelete csak a megjelenítést érinti: arra ad lehetőséget, hogy a koordinátatengelyek sorrendjét vagy azok irányát felcseréljük.",igaz
"Az elosztott rendszerek számos egymástól függetlenül működő, lazán csatolt alkotóelemből épülnek fel.",igaz
"Az információ lényegében az adatok jelentése, vagyis az adatok értelmezése valamilyen tudás kontextusban.",igaz
Az információ nem azonos az adatok halmazával.,igaz
"Az információ olyan adat vagy ismeret, amely viselkedésünket befolyásolni képes.",igaz
Az információnak a rendszer szempontjából nincsen kulcs szerepe az időben meghozott döntésekben.,hamis
"Az információs rendszer célja az információk összegyűjtése úgy, hogy közben a vállalat számára egy információs többlet értéket biztosítson",igaz
"Az információs rendszer erőforrásai: eszközök, emberek, szabványok és eljárások.",igaz
"Az információs rendszerek alapvető feladata, hogy a döntéshozókat ellássa a vállalat működése szempontjából célszerű döntések meghozatalához szükséges információkkal.",igaz
Az információs rendszerek különböző folyamatai minden esetben autamatizáltak.,hamis
"Az információs rendszernek (definíciója alapján) része tárolását és szolgáltatását végző személyek, de nem része a technikai eszközök összessége.",hamis
"Az információs rendszernek (definíciója alapján) része tárolását és szolgáltatását végző személyek, és tevékenységek és technikai eszközök összessége.",igaz
"Az információs rendszernek CSAK az a célja, hogy a vállalat számára egy információs többlet értéket biztosításon.",hamis
Az integrált információs rendszerek követelménye az egységes UI.,igaz
"Az integrált vállalatirányítási rendszerek bevezetése során nem szükséges a szoftvert az adott vállalat igényeire testre szabni, mivel az integráltságból adódóan ez már korábban meg lett valósítva.",hamis
Az integrált vállalatirányítási rendszerek bevezetése során szükséges lehet a szoftvert az adott vállalat igényeire testre szabni.,igaz
Az inverz szabályok formai és tartalmi szabályok keverékei.,hamis
Az objektív információfelfogás szerint az információ abszolút és semleges.,igaz
Az objektív információfelfogás szerint az információ nem abszolút és semleges.,hamis
"Az on-line megoldásos adathiba feltárás előnye, hogy nem költséges.",hamis
"Az operatív rendszerek lényege az, hogy az összegyűjtött bemeneti adatokat olyan formára hozzák, amely a felhasználók számára megkönnyíti az adott helyzet megfelelő értékelését.",hamis
"Az operatív rendszereknek nem az a lényege, hogy az összegyűjtött bemeneti adatokat olyanra formára hozzák, amely a felhasználó számára megkönnyíti az adott helyzet megfelelő értékelését.",igaz
Az átkönyvelés (transfer posting) mindig fizikai anyagmozgással jár.,hamis
Az átkönyvelés (transfer posting) nem jár feltétlenül fizikai anyagmozgatással.,igaz
Az áttolás (stock transfer) mindig fizikai anyagmozgatással jár.,igaz
Az ügyviteli rendszerek nem tartoznak az vállalati információs rendszerek közé.,hamis
Az üzleti intelligencia kifejezetten az operatív adatbázisok intelligens működésére fókuszáló terület.,igaz
"Az üzletiintelligencia-rendszerek a döntések meghozatalához szükséges adatok feltárását, összesítését és elemzését végző eszközök.",igaz
Beszerzési igényből (purchase requisition) tervrendelés (planned order) képezhető.,igaz
"Csak olyan termék értékesíthető, amelyik szerepel az anyagtörzsben",igaz
"Csak olyan termék értékesíthető, amelyik van raktáron",igaz
"Definíciója szerint a szervezet nem ""emberek meghatározott céllal létrejött"" csoportja.",hamis
Döntéshozatali hierarchia és információ igény szerint a stratégiai vezetés problémaszerkezete jól strukturált.,hamis
Döntéshozatali hierarchia és információ igény szerint az operatív vezetés problémaszerkezete jól strukturált.,igaz
"Egy adatból gondolkodás vagy gépi feldolgozás útján új ismeretek és ezzel párhuzamosan újabb információk nyerhetđk. Egy adatnak annál nagyobb az információtartalma, minél kevésbé magától értetđdđ, azaz minél nehezebben lehet elđre kikövetkeztetni.",igaz
Egy adatminőség felmérést követően maradhatnak fel nem tárt hibák a rendszerben.,igaz
Egy adott művelet elvégzéséhez szükséges időt egy adottmunkaközpont (work center) határozza meg.,hamis
Egy beszerzési szervezetet (purchasing organization) minden esetben hozzá kell rendelni egy vállalathoz (company code).,hamis
Egy beszerzési szervezetet (purchasing organization) nem kellminden esetben hozzárendelni egy vállalathoz (company code).,igaz
Egy beszerzési szervezetet nem kell minden esetben hozzárendelni egy vállalathoz (company code).,igaz
Egy egysegnyi munka korulbelul 90%-os pontossagot tud produkalni.,igaz
Egy kiszállítási pontot (shipping point) raktárhelyhez (storage location) lehet rendelni.,hamis
Egy kiszállítási pontot (shipping point) üzemekhez (plants) lehetrendelni.,igaz
Egy költségszámítási körhöz (controlling area) csak egy vállalat(company code) rendelhető.,hamis
Egy költségszámítási körhöz (controlling area) több vállalat (company code) is rendelhető.,igaz
Egy rendelési igény (purchase requisition) beszerzésimegrendelésé (purchase order) alakítható.,igaz
Egy rendszer maga is része lehet egy nagyobb egységnek (rendszernek).,igaz
